AAHED ABAFT ABBAS ABETS ABODE ABOUT ABYES ACHED 
CUMIN CURBS CURES CURLS CURST CUSPS CUTIE CYANS 
CYLIX CYNIC DADAS DAGOS DALLY DANCE DARER DARTS 
DATOS DAUNT DAWKS DEAIR DEASH DEBUG DECKS DEEDS 
DEFAT DEICE DEITY DELES DELTA DEMOS DEPOT DERMS 
DEUCE DEWAR DHALS DIALS DICEY DIDIE DIGIT DILLS 
DINED DINGY DIPPY DIRTS DISKS DITTO DIVER DIZEN 
DOBIE DODOS DOGEY DOING DOLES DOMAL DONGA DONUT 
DOPED DORMS DOSED DOTES DOUMS DOWED DOWRY DOZEN 
DRAGS DRANK DRAWS DREED DRIBS DRILY DROLL DROSS 
DRUID DRYER DUCES DUDED DUKES DUMBS DUNAM DUNKS 
DUPES DURNS DURUM DUVET DYERS DYNES EARLY EASTS 
EBBET ECRUS EDIFY EGADS EGRET EKING ELDER ELINT 
ELVER EMBOW EMIRS EMYDE ENDOW ENOLS ENTER
      EQUAL ERNES ERUCT       ETAPE ETUDE EVENS 
EVITE       EXITS EXUDE EYRES FACES FADER FAGGY 
FAIRY FAKIR FANES FANUM FARDS FARMS FATES FAULT 
FAWNS FAZES FECAL FEIGN FELLY FENCE FERES FERRY 
FETES FEUED FIARS FICHU FIELD FIFTH FILER FILLY 
FINAL FINIS FIRED FIRST FITLY FIXIT FLAGS FLAMS 
FLASH FLAYS FLEET FLIED FLIRT FLOES FLORA FLOWS 
FLUKE FLUOR FLYER FOCUS FOINS FOLKY FOOLS FORBY 
FORGO FORTH FOULS FOXED FRANC FREAK FRERE FRIES 
FRITS FROGS FROST FRUIT FUDGE FUGUE FUMER FUNGO 
FUROR FUSEL FUZED FYKES GADIS GAILY GALEA GAMAY 
GAMES GAMPS       GARBS GASTS GAUGE GAUZE GAWPS 
GAZER GEEKY GELTS GENIC GENRE GEOID GESTS GHAUT 
GIANT GIGAS GILLY GINKS GIRLY GIRTS       GLAND 
GLAZY GLEDS GLEYS GLIMS GLOBS GLOSS GLUED GLUON 
GNASH GOALS GOFER GOLLY GONIA GOOEY GOONY GORED 
GOUGE GOWKS GRACE GRAMA GRANT GRATE GREBE GREGO 
GRIFT GRINS GRIST GROIN GROUP GRUBS GRUNT GUAVA 
GUIDE GUISE GULFY GUMMA GURGE GUSTO GUYED GYRED 
GYVES HACKS HAEMS HAIKA HAJES HALER HALOS HAMMY 
HANKS HAPAX HAREM HARPY HASTY HAULM HAVES HAYER 
HEADS HEART HECKS       HEIST HELOT HEMIN HENTS 
HERMA HERTZ HEWER HICKS HIKED HILLY HINNY HIRES 
HOARD HOCUS HOISE HOKUM HOLLA HOMER HONED HONKY 
HOOKA HOOTY HORAS HORSY HOSTS HOURS       HUBBY 
HULKS HUMID HUNCH HURLY HUSSY HYING HYPER IAMBI 
ICKER             ILEAC ILIAL IMBED       INANE 
INCUS INDUE INFRA INKLE       IODIC IRATE IRONY 
ISSUE IVIES JABOT JAGER JALAP JAPAN JAUKS 
JEHAD JERID JETES JIBED JILLS JINNI JNANA JOINT 
JOLES JORUM JOUST JUBAS JUGUM JULEP JUNKY JURAT 
KABAB KAIAK KALAM KANAS KAPOK KAROO KAVAS KEBAR 
KEELS KEIRS       KERBS KETOL KHAFS KHETH KIBES 
KIEFS KILOS KINGS KIRKS KITES KLONG KNARS KNEES 
KNOBS KNOUT KOANS KONKS KOPPA KRAFT KRONE KUGEL 
KUSSO KYLIX LABOR LACKS LAEVO LAIGH LAKER LAMED 
LANCE LAPIS LARES LARUM LASTS LATHE LAUDS LAVES 
LAYED LEACH LEAKY LEARS LEAVY LEERS LEGER LEMAN 
LENIS LEPTA LEVEL LEZES LIARS LICHT LIENS LIGAN 
LIKES LIMBI LIMES LIMPS LINES LININ LINTY LIRAS 
LITAS LIVEN LLANO LOANS LOBOS LOCUS LOFTY LOGOI 
LONGE LOOFS LOOPS LOPES LORIS LOTAH LOUGH LOURY 
LOVER LOWSE LUCES LUDIC LULUS LUNCH LUNKS LURER 
LUSUS LYARD LYMPH LYSIN MABES MACHO MADAM MAGIC 
MAILE MAIST MAKOS MALMY MAMEY MANES MANLY MANUS 
MARGE MARSE MASKS MATCH MATIN MAULS MAVIN MAYAS 
MAZED MEALY MECCA MEETS MELON MENSE MERDE MERLE 
MESNE METES MEWLS MICAS MIDGE MIGGS MILER MILLS 
MIMEO MINCE MINGY MINOR MIREX MISER MITER MIXER 
MOCHA MODUS MOIRE MOLAS MOLTO MONAD MONIE MOODS 
MOONY MOPER MORAY MORRO MOSSY MOTEY MOTTO MOUND 
MOVED MOXAS MUCKY MUFFS MULCH MULLS MUNGO MUREX 
MURRS MUSHY MUSTS MUTON MYOMA NABES NAEVI NAIVE 
NANAS NAPPY NARIS NATCH NAVES NEATH NEEPS NEMAS 
NERTZ NETTY NEVUS NEWTS NICKS NIECE NILLS NINTH 
NITID NIXED NOBLY NOELS NOISY NOMOI NONYL NORIA 
NOTAL NOUNS NUBBY NUDIE NUMEN       OASES OAVES 
OBITS OCEAN OCTAD       ODOUR OFFER OGIVE OHING 
      OLDIE OLIVE OMEGA       OOTID OPERA OPTIC 
ORBIT ORGAN ORMER OSIER OTTAR OUPHS OUTED OVALS 
OVINE OWLET OXIDE OYERS PACHA PADRE PAGER PAINT 
PALER PALMY PANDY PANIC PAPAL PARAS PARER PARKA 
PARSE PASHA PATCH PATIN PAVAN PAVIS PAXES PEACH 
PEANS PEATY PEDAL PEEPS PEKAN PELON PENGO PEONY 
PERDY PERMS PESTS PETTY PHLOX PHOTS PIANS PICOT 
PIGGY PIKES PILED PILUS PINES PINKY PINTO PIPED 
PIRNS PITHS PIXIE PLAIN PLASH PLAYS PLEBS PLIES 
PLOTZ PLUME PLYER POEMS POINT POLAR POLKA POMMY 
POOCH POONS POPPY PORKS POSED POTSY POULT POXED 
PRANG PRAUS PREPS PREYS PRIER PRIMI PRIOR PROAS 
PROLE PROPS PROUD PRUNE PSOAE PUBIS PUFFS PUKES 
PULIS PUMPS PUNKY PUPAL PURER PURSE PUTTI PYLON 
PYXIE QUADS QUAKY QUART QUEAN QUEST QUIFF QUIPU 
QUODS QURSH RACER RADIO RAGED RAIDS RAJAS RAKIS 
RAMIE RANDS RANIS RAPHE RASER RATCH RATIO RAVER 
RAXED RAZED REACT REAMS REBBE REBUT RECTI REDED 
REDON REDYE REEKY REFER REGES REIFY RELAX REMAP 
RENDS REOIL REPOS RESAW RESIN RETCH REUSE REWED 
      RIALS RICER RIDGE RIFTS RILEY RINDS RIPED 
RISES RITZY RIVET ROARS ROBOT ROILS ROMPS ROOMS 
ROPED ROSES ROTLS ROUGE ROUST ROVER ROWEN RUBLE 
RUDER RUGBY RUMBA RUNGS RURAL RUTHS RYOTS SABLE 
SADES SAFES SAGUM SAINS SAKIS SALLY SALSA SAMBO 
SANER SAPPY SARIS SASSY SATIS SAULS SAVER SAWED 
SCABS SCALP SCAPE SCARY SCEND       SCOOT SCOUR 
SCRAP SCRUB SCUFF SCURF SEAMY SEDAN SEEDY SEEPY 
SEIFS SELFS SEMIS SENSE SEPTA SERER SEROW SETAL 
SEWAN SEXTO SHAFT SHALE SHANK SHARP SHAWS SHEDS 
SHELF SHEWN SHIFT SHINY SHIST SHOAL SHOGS SHOOS 
SHORT SHOWN SHRIS SHULS SHYER SICKO SIEUR SIGMA 
SILKS SILTY SINES SINUS SIRES SITAR SIXES SIZED 
SKATS SKEGS SKEWS SKIFF SKINS SKITE SKULL SLAGS 
SLANT SLAVE SLEET SLIER SLINK SLOES SLOPS SLUBS 
SLUMS SLUSH SMALL SMEAR SMILE SMOKE SNAFU SNARE 
SNEAK SNIBS SNITS SNOOP SNOWS SNYES SOBER SODIC 
SOFTY SOLAN SOLES SOLVE SONIC SOOTH SOPPY SORES 
SOTHS SOUPS SOWED SPACY SPAIL SPANK SPATE SPEAR 
SPEIL SPERM SPICY SPIKE SPINE SPITE SPLIT SPOOL 
SPOUT SPRIT SPUME SPUTA       STAGE STAIR STAND 
STARK STAVE STEED STELA STERN STIES STIMY STIRP 
STOBS STOMA STOOL STORK STOUT STRAY STROP STUCK 
STUMS STUPE STYMY SUCRE SUETS SUITE SULKY SUMPS 
SUPES SURER SURRA SWAGS SWAMY SWARE SWATS SWEER 
SWILL SWIRL SWOON SWOTS SYLIS SYNTH TABID TACES 
TACKY TAHRS TAKEN TALCS TALON TAMES TANGY TAPED 
TARDY TAROK TARSI TASTY TAUPE TAWSE TAXUS TEAMS 
TECTA TEETH TELES TELOI TENCH TENSE TEPEE TERMS 
TESLA TEUCH THANE THEFT THERE THICK THINK THONG 
THRAW THROW THUMP THYMY TIDED TIGON TILER TIMER 
TINES TIPPY TITAN TITTY TODDY TOGAS TOKED TOLED 
TOMBS TONED TONIC TOOTS TOPHE TOPOS TORES TORSI 
TOTAL TOUGH TOWER TOYED TRACT TRAIT TRAPS TRAYS 
TREKS TRIAC TRIED TRILL TRIPS TROKE TROOZ TROWS 
TRUES TRUSS       TUBAS TUFAS TULLE TUNED TUPIK 
TURNS TUTTI TWAIN TWEET TWINE TWITS TYNED TYPIC 
TYTHE ULANS ULNAS UMBOS UNAIS UNBID UNCOY UNDUE 
UNHIP UNLAY UNMEW UNSAY UNWED UPDOS       URBAN 
URGED USAGE USUAL UVEAL VAGUS VALID VANDA VARAS 
VASAL VAULT VEERS VEINY VENAL VENUE VERTS VEXED 
VIBES VIERS VILER VINAS VINYL VIRES VISAS VITAE 
VIZIR VOGIE VOLAR VOLTS VOTES VROUW VULVA WADDY 
WAFFS WAHOO WAITS WALED WALLY WANES WARES WARTY 
WATAP WAULS WAXED WEANS WECHT WEEKS WEETS WELCH 
WENCH WHALE WHATS WHEEP WHETS WHIGS WHIPS WHISK 
WHOLE WHORL WIDDY WIELD WILCO WILTS WINDY WINKS 
WIRED WISES WITCH WIVED WOALD WOMAN WONTS WOOLS 
WORDY WORSE WOVEN WRATH WRIED WRITS WRYLY WYTED 
YAGIS YANKS YAUDS YAWPS YECHS YENTA YETTS YINCE 
      YOGEE YOKEL YONIS YOUTH YUCCA YULES ZAMIA 
ZAZEN ZEROS ZILLS ZINKY ZLOTY ZONED ZOOMS 
